seed,alpha,gamma,q_iterations,epsilon,epsilon_min,epsilon_decay,steps_taken,finished,sweep_type,run_idx
7042,0.4,0.95,1,0.9,0.05,0.995,44,True,alpha_gamma_q_iterations,0
7043,0.4,0.95,1,0.9,0.05,0.995,140,True,alpha_gamma_q_iterations,1
7044,0.4,0.95,1,0.9,0.05,0.995,23,True,alpha_gamma_q_iterations,2
7045,0.4,0.95,1,0.9,0.05,0.995,48,True,alpha_gamma_q_iterations,3
7046,0.4,0.95,1,0.9,0.05,0.995,117,True,alpha_gamma_q_iterations,4
7047,0.4,0.95,1,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,5
7048,0.4,0.95,1,0.9,0.05,0.995,40,True,alpha_gamma_q_iterations,6
7049,0.4,0.95,1,0.9,0.05,0.995,47,True,alpha_gamma_q_iterations,7
7050,0.4,0.95,1,0.9,0.05,0.995,33,True,alpha_gamma_q_iterations,8
7051,0.4,0.95,1,0.9,0.05,0.995,19,True,alpha_gamma_q_iterations,9
8042,0.4,0.95,5,0.9,0.05,0.995,41,True,alpha_gamma_q_iterations,0
8043,0.4,0.95,5,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,1
8044,0.4,0.95,5,0.9,0.05,0.995,29,True,alpha_gamma_q_iterations,2
8045,0.4,0.95,5,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,3
8046,0.4,0.95,5,0.9,0.05,0.995,42,True,alpha_gamma_q_iterations,4
8047,0.4,0.95,5,0.9,0.05,0.995,19,True,alpha_gamma_q_iterations,5
8048,0.4,0.95,5,0.9,0.05,0.995,45,True,alpha_gamma_q_iterations,6
8049,0.4,0.95,5,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,7
8050,0.4,0.95,5,0.9,0.05,0.995,94,True,alpha_gamma_q_iterations,8
8051,0.4,0.95,5,0.9,0.05,0.995,20,True,alpha_gamma_q_iterations,9
9042,0.4,0.95,10,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,0
9043,0.4,0.95,10,0.9,0.05,0.995,30,True,alpha_gamma_q_iterations,1
9044,0.4,0.95,10,0.9,0.05,0.995,7,True,alpha_gamma_q_iterations,2
9045,0.4,0.95,10,0.9,0.05,0.995,5,True,alpha_gamma_q_iterations,3
9046,0.4,0.95,10,0.9,0.05,0.995,4,True,alpha_gamma_q_iterations,4
9047,0.4,0.95,10,0.9,0.05,0.995,65,True,alpha_gamma_q_iterations,5
9048,0.4,0.95,10,0.9,0.05,0.995,61,True,alpha_gamma_q_iterations,6
9049,0.4,0.95,10,0.9,0.05,0.995,12,True,alpha_gamma_q_iterations,7
9050,0.4,0.95,10,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,8
9051,0.4,0.95,10,0.9,0.05,0.995,134,True,alpha_gamma_q_iterations,9
10042,0.6,0.8,1,0.9,0.05,0.995,26,True,alpha_gamma_q_iterations,0
10043,0.6,0.8,1,0.9,0.05,0.995,28,True,alpha_gamma_q_iterations,1
10044,0.6,0.8,1,0.9,0.05,0.995,30,True,alpha_gamma_q_iterations,2
10045,0.6,0.8,1,0.9,0.05,0.995,22,True,alpha_gamma_q_iterations,3
10046,0.6,0.8,1,0.9,0.05,0.995,8,True,alpha_gamma_q_iterations,4
10047,0.6,0.8,1,0.9,0.05,0.995,20,True,alpha_gamma_q_iterations,5
10048,0.6,0.8,1,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,6
10049,0.6,0.8,1,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,7
10050,0.6,0.8,1,0.9,0.05,0.995,34,True,alpha_gamma_q_iterations,8
10051,0.6,0.8,1,0.9,0.05,0.995,7,True,alpha_gamma_q_iterations,9
11042,0.6,0.8,5,0.9,0.05,0.995,22,True,alpha_gamma_q_iterations,0
11043,0.6,0.8,5,0.9,0.05,0.995,31,True,alpha_gamma_q_iterations,1
11044,0.6,0.8,5,0.9,0.05,0.995,65,True,alpha_gamma_q_iterations,2
11045,0.6,0.8,5,0.9,0.05,0.995,49,True,alpha_gamma_q_iterations,3
11046,0.6,0.8,5,0.9,0.05,0.995,124,True,alpha_gamma_q_iterations,4
11047,0.6,0.8,5,0.9,0.05,0.995,48,True,alpha_gamma_q_iterations,5
11048,0.6,0.8,5,0.9,0.05,0.995,92,True,alpha_gamma_q_iterations,6
11049,0.6,0.8,5,0.9,0.05,0.995,21,True,alpha_gamma_q_iterations,7
11050,0.6,0.8,5,0.9,0.05,0.995,22,True,alpha_gamma_q_iterations,8
11051,0.6,0.8,5,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,9
12042,0.6,0.8,10,0.9,0.05,0.995,112,True,alpha_gamma_q_iterations,0
12043,0.6,0.8,10,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,1
12044,0.6,0.8,10,0.9,0.05,0.995,43,True,alpha_gamma_q_iterations,2
12045,0.6,0.8,10,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,3
12046,0.6,0.8,10,0.9,0.05,0.995,3,True,alpha_gamma_q_iterations,4
12047,0.6,0.8,10,0.9,0.05,0.995,72,True,alpha_gamma_q_iterations,5
12048,0.6,0.8,10,0.9,0.05,0.995,27,True,alpha_gamma_q_iterations,6
12049,0.6,0.8,10,0.9,0.05,0.995,28,True,alpha_gamma_q_iterations,7
12050,0.6,0.8,10,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,8
12051,0.6,0.8,10,0.9,0.05,0.995,15,True,alpha_gamma_q_iterations,9
13042,0.6,0.9,1,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,0
13043,0.6,0.9,1,0.9,0.05,0.995,111,True,alpha_gamma_q_iterations,1
13044,0.6,0.9,1,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,2
13045,0.6,0.9,1,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,3
13046,0.6,0.9,1,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,4
13047,0.6,0.9,1,0.9,0.05,0.995,21,True,alpha_gamma_q_iterations,5
13048,0.6,0.9,1,0.9,0.05,0.995,10,True,alpha_gamma_q_iterations,6
